URL,media,is_nyhed,type_article,date,countries
https://www.dr.dk/nyheder/indland/museum-blaest-bagover-designeren-graed-over-udstillingen,DR,1,indland,2025-10-11,Denmark
https://www.dr.dk/nyheder/kultur/magien-forsvandt-j-k-rowling-emma-watson-og-konflikten-der-splitter-fans,DR,1,kultur,2025-10-11,"United Kingdom, United States of America"
https://www.dr.dk/nyheder/kultur/efter-et-breakdown-over-det-koebenhavnske-boligmarked-har-freja-taget-sagen-i-egen-haand,DR,1,kultur,2025-10-11,Denmark
https://www.dr.dk/det-bedste-fra-dr/maria-og-hendes-kaereste-byttede-roller-i-hjemmet-i-en-maaned-efter-dage-var-hun,DR,0,det-bedste-fra-dr,2025-10-11,Denmark
https://www.dr.dk/nyheder/indland/skynd-jer-sige-det-videre-til-jeres-foraeldre-minecraft-influencer-politianmeldt,DR,1,indland,2025-10-11,Denmark
https://www.dr.dk/nyheder/politik/derfor-fortsaetter-diskussionen-paa-et-centralt-punkt-er-der-modstridende-konklusioner-paa-minksagen,DR,1,politik,2025-10-11,NO_COUNTRIES
https://www.dr.dk/nyheder/kultur/dr-naegter-konkretisere-udtalelser-bag-fyring-af-debattoer-handler-om-politisk-pres,DR,1,kultur,2025-10-11,Denmark
https://www.dr.dk/nyheder/indland/bedre-forhold-fugle-paa-vej-til-vadehavet,DR,1,indland,2025-10-11,Denmark
https://www.dr.dk/nyheder/indland/trods-flere-penge-faerre-flyafgange-mellem-koebenhavn-og-bornholm,DR,1,indland,2025-10-11,NO_COUNTRIES
https://www.dr.dk/nyheder/politik/kommunalvalg/las-kandidattal-paa-himmelflugt-andre-ser-det-mere-sort-ud,DR,1,politik,2025-10-11,Denmark
https://www.dr.dk/nyheder/seneste/geert-wilders-stopper-valgkampagne,DR,1,seneste,2025-10-11,"Austria, Belarus, Belgium, China, Denmark, Egypt, France, Germany, Greece, Greenland, Israel, Lebanon, Netherlands, North Korea, Norway, Palestine, Russia, Spain, Sudan, Sweden, Ukraine, United Kingdom, United States of America, Vietnam"
https://www.dr.dk/nyheder/indland/hadet-modet-joeder-er-ikke-kun-blevet-stoerre-de-seneste-aar-det-har-altid-vaeret-der-mener,DR,1,indland,2025-10-11,"Denmark, Israel, Palestine"
https://www.dr.dk/nyheder/viden/nyt-studie-dine-madvaner-afsloerer-hvor-tolerant-du-er,DR,1,viden,2025-10-11,"Austria, China, Denmark, France, India, Spain, Thailand, Turkey, United Kingdom"
https://www.dr.dk/nyheder/viden/klima/indonesiens-stoerste-synker-i-havet-dansk-fotograf-har-fulgt-de-boern-det-gaar-ud-over,DR,1,viden,2025-10-11,"Denmark, Indonesia"
https://www.dr.dk/ligetil/ligetil-paa-tegnsprog/ditte-vil-gerne-bo-rigtig-smaat-nu-bygger-hun-et-tiny-house-paa-34,DR,0,ligetil,2025-10-11,NO_COUNTRIES
https://www.dr.dk/nyheder/kultur/hvordan-skal-den-moderne-gentleman-opfoere-sig-et-af-verdens-foerende-mandemagasiner-har-125-bud,DR,1,kultur,2025-10-11,Denmark
https://www.dr.dk/nyheder/seneste/over-180-lejligheder-i-odense-evakueres-paa-grund-af-usikkerhed-i-fundamentet,DR,1,seneste,2025-10-11,NO_COUNTRIES
https://www.dr.dk/nyheder/kultur/mange-toer-i-forvejen-ikke-bruge-solsikkesnoren-siger-organisationer-efter-klovn-joke,DR,1,kultur,2025-10-11,NO_COUNTRIES
https://www.dr.dk/nyheder/seneste/flere-doede-efter-eksplosion-paa-spraengstoffabrik-i-tennessee,DR,1,seneste,2025-10-11,United States of America
